"latitude","longitude","brightness","daynight","acq_date","acq_time","daynight.1","type","datetime","city","state","population","wildfire","temp_C","wind","humidity","cloud_cover","precipitation","ndvi","soil_moisture","elevation"
-21.9902,147.4035,339.3,"D","2020-11-24",4,"D",0,"2020-11-24 00:04:00",NA,NA,NA,1,36.5,3.2,22,82,0,0.1172,0.169535577297211,215
-37.8368,144.789,300.2,"D","2020-08-27",14,"D",2,"2020-08-27 00:14:00","Melbourne","Victoria",5031195,1,18.1,33.9,48,70,0,0.2541,0.307860732078552,25
-35.861,148.045,315.6,"N","2020-01-14",1228,"N",0,"2020-01-14 12:28:00","Tumut","New South Wales",6230,1,19.3,9.5,67,80,0,0.5926,0.0813717022538185,486
-31.0501,115.9125,323.2,"D","2020-04-23",557,"D",0,"2020-04-23 05:57:00","Perth","Western Australia",2141834,1,22.2,6.2,61,1,0,0.407,0.0695082917809486,179
-17.6621,141.9941,329.8,"D","2020-11-29",21,"D",0,"2020-11-29 00:21:00",NA,NA,NA,1,38.9,5.4,24,22,0,0.3253,0.0990345701575279,72
-35.6202,148.5108,312.1,"N","2020-01-11",1335,"N",0,"2020-01-11 13:35:00","Tumut","New South Wales",6230,1,10.1,13,88,74,0,0.6946,0.110587015748024,1316
-14.8719,143.9426,314.2,"D","2020-05-27",410,"D",0,"2020-05-27 04:10:00",NA,NA,NA,1,23.4,8.1,66,85,0,0.5339,0.246362909674644,32
-13.8279,132.6971,317.5,"D","2020-07-03",140,"D",0,"2020-07-03 01:40:00",NA,NA,NA,1,28.9,22.4,45,30,0,0.4948,0.102265708148479,286
-33.7041,140.4122,329.8,"D","2020-11-16",56,"D",0,"2020-11-16 00:56:00","Renmark","South Australia",4634,1,27.1,23.6,17,0,0,0.303,0.0739020109176636,53
-27.7203,150.6513,315.9,"D","2020-08-28",336,"D",0,"2020-08-28 03:36:00","Toowoomba","Queensland",108398,1,14.8,8.3,36,0,0,0.3206,0.199995383620262,306
-37.1692,148.4175,485.6,"D","2020-01-04",404,"D",0,"2020-01-04 04:04:00","Orbost","Victoria",2014,1,13.8,12.6,79,99,0,0.54075,0.0660381466150284,1072
-12.2976,133.735,330.1,"D","2020-05-12",204,"D",0,"2020-05-12 02:04:00",NA,NA,NA,1,35,9.2,27,85,0,0.6008,0.153024137020111,151
-27.8562,126.3895,339.1,"D","2020-11-24",144,"D",0,"2020-11-24 01:44:00",NA,NA,NA,1,37.1,4,8,0,0,0.1761,0.0362632162868977,420
-15.7946,130.6776,331.5,"D","2020-09-03",441,"D",0,"2020-09-03 04:41:00",NA,NA,NA,1,35.8,7.2,19,14,0,0.31,0.0551706105470657,80
-35.5685,150.1705,313.4,"D","2020-04-27",353,"D",0,"2020-04-27 03:53:00","Surfside","New South Wales",1371,1,15.6,4.7,88,43,0,0.6833,0.251440525054932,51
-12.8069,134.9379,330,"D","2020-11-16",51,"D",0,"2020-11-16 00:51:00",NA,NA,NA,1,38.5,18.8,25,54,0,0.4574,0.0534629970788956,82
