"wildfire","datetime","city","state","population","latitude","longitude","computed_daynight_sza","brightness","temp_C","wind","humidity","cloud_cover","precipitation","ndvi","elevation","soil_moisture"
0,"2020-07-02 20:10:15.863926",NA,NA,NA,-22.3971372324785,122.901769516339,"N",0,17.1,23.5,33,93,0,0.2056,263,0.084402322769165
0,"2020-09-13 09:52:32.667412","Inverell","New South Wales",9654,-29.1112338614045,150.640061273335,"N",0,13.4,8.8,59,11,0,0.736,327,0.210346341133118
0,"2020-10-25 19:59:38.964315",NA,NA,NA,-26.4776986396716,131.751438990034,"N",0,15,24.3,28,0,0,0.2506,603,0.0467748455703259
0,"2020-02-09 19:57:09.547974",NA,NA,NA,-21.6995060234336,138.160326131922,"N",0,31,9.5,25,0,0,0.2367,183,0.183393031358719
0,"2020-03-06 10:08:32.586676",NA,NA,NA,-24.3177141813578,138.146563340906,"D",0,19.7,10.7,76,0,0,0.1939,101,0.044957846403122
0,"2020-04-18 20:02:31.520785",NA,NA,NA,-28.8661574601781,117.97525565282,"D",0,17.8,10.3,75,57,0,0.2287,461,0.0696013122797012
0,"2020-01-29 20:29:58.937142",NA,NA,NA,-27.626529027245,128.266783924859,"D",0,34,14.1,29,0,0,0.1535,403,0.0643735229969025
0,"2020-09-02 18:29:03.329181",NA,NA,NA,-28.3041575535407,132.138764964297,"N",0,12.8,2.5,37,0,0,0.2006,305,0.0438191331923008
0,"2020-05-27 21:21:17.320588",NA,NA,NA,-28.1257922048409,133.564627519356,"D",0,10.1,3.7,56,2,0,0.1449,216,0.0327078402042389
0,"2020-01-15 09:56:39.193908",NA,NA,NA,-30.3760493803599,124.879409704372,"N",0,22.2,22.4,65,4,0,0.1794,200,0.0804998353123665
0,"2020-03-13 18:26:16.152578",NA,NA,NA,-28.0023245814934,134.028594558907,"D",0,20.3,22.4,56,0,0,0.1775,279,0.0460775904357433
0,"2020-01-06 20:51:11.811649",NA,NA,NA,-17.0164687119453,141.680048320748,"N",0,30.8,13.4,60,98,0,0.2278,31,0.0729553177952766
0,"2020-04-15 20:10:46.468781",NA,NA,NA,-22.4373984232993,143.105628445131,"D",0,26.2,17.3,56,0,0,0.1656,191,0.163462236523628
0,"2020-10-04 20:54:23.427551",NA,NA,NA,-27.7208422793849,125.588175340185,"N",0,8.9,25,80,49,0.2,0.1929,368,0.0324767269194126
0,"2020-10-09 08:59:03.566015",NA,NA,NA,-22.0322809094246,120.531147780917,"N",0,26.2,14.1,19,0,0,0.1533,443,0.0711154639720917
0,"2020-10-07 20:15:24.416169","Inverell","New South Wales",9654,-30.1350671665848,151.036668540451,"N",0,21,19.7,50,3,0,0.4626,643,0.14497110247612
0,"2020-03-05 18:54:29.402253",NA,NA,NA,-24.9331634839496,115.865942334537,"D",0,21.5,9,69,0,0,0.1717,229,0.0981817618012428
0,"2020-07-21 09:32:12.730886",NA,NA,NA,-22.0118050636725,126.802691494669,"N",0,17.5,15.9,36,0,0,0.1711,344,0.0426378175616264
0,"2020-05-31 20:20:31.283575",NA,NA,NA,-17.2271567517877,137.816309635423,"D",0,23.6,3.9,52,0,0,0.4626,95,0.0982680469751358
0,"2020-07-18 09:33:05.868734",NA,NA,NA,-19.5478926093358,141.471562017847,"D",0,15.4,9.3,22,0,0,0.2531,85,0.0607231110334396
0,"2020-05-18 21:24:37.076582",NA,NA,NA,-23.5207421596306,135.779734159012,"N",0,17.5,8.7,35,16,0,0.238,337,0.0413597077131271
0,"2020-03-22 21:22:45.978905",NA,NA,NA,-19.6152992974913,122.192951557039,"D",0,26.9,9.5,53,0,0,0.2429,93,0.0769848376512527
0,"2020-12-08 19:03:07.695512","Charters Towers","Queensland",8040,-20.2010565098741,144.916295724276,"D",0,28.9,7.2,53,28,0,0.3395,689,0.0584446080029011
0,"2020-01-01 09:54:33.375125","Boulder","Western Australia",4825,-31.4557544376694,120.295830273419,"N",0,23.6,24.1,49,0,0,0.177,466,0.0330067649483681
0,"2020-06-12 09:56:05.444396","Young","New South Wales",7712,-34.2497055616678,148.35263645689,"D",0,8.1,11.2,91,97,0,0.7597,523,0.183827355504036
0,"2020-01-14 20:04:18.514618",NA,NA,NA,-25.5615288509749,121.501558901655,"D",0,25.6,3.7,85,77,0,0.1455,530,0.0851090252399445
0,"2020-07-16 08:48:19.058918",NA,NA,NA,-21.6907013214259,122.840159660415,"D",0,15.1,10.1,17,0,0,0.164,325,0.043892152607441
0,"2020-07-11 08:24:32.232365","Drummond Cove","Western Australia",1477,-27.4479676688915,114.279719796783,"D",0,14.8,8.7,42,0,0,0.3206,198,0.0814759060740471
0,"2020-07-09 19:57:32.249653","Roxby Downs","South Australia",3671,-30.6773693210816,136.148112755446,"N",0,7.6,4.7,61,0,0,0.1624,117,0.0464574694633484
0,"2020-04-03 21:20:10.844147",NA,NA,NA,-17.8376816279547,133.385221122629,"N",0,31.3,16.4,53,75,0,0.5608,203,0.199064582586288
0,"2020-11-09 19:51:49.480968",NA,NA,NA,-16.7887779238909,131.773968812527,"D",0,31.1,18.3,58,0,0,0.2978,226,0.0766992121934891
0,"2020-04-05 21:25:29.778736",NA,NA,NA,-26.3090485986069,143.674725938861,"N",0,20.5,19.3,44,0,0,0.2362,167,0.106519632041454
0,"2020-08-10 10:03:07.85544",NA,NA,NA,-24.6834901161313,126.42052722389,"N",0,15.8,3.1,85,16,0,0.1337,451,0.0378104783594608
0,"2020-01-13 19:37:18.417443","Bourke","New South Wales",1535,-28.7886885220892,145.198408010115,"N",0,34.4,21.3,32,0,0,0.2198,163,0.0402410216629505
0,"2020-10-13 20:27:05.931087",NA,NA,NA,-26.4868791417215,127.231108687535,"D",0,26.8,21.1,14,0,0,0.1662,420,0.0486262105405331
0,"2020-09-14 20:42:19.958738",NA,NA,NA,-30.9115575834512,131.521107275696,"D",0,13.1,14,75,28,0,0.1674,83,0.0842190459370613
0,"2020-12-18 18:11:37.33296",NA,NA,NA,-21.1335045580052,132.914353209108,"N",0,29,17.9,58,87,0,0.1973,484,0.0535130016505718
0,"2020-07-19 08:48:18.298575","Red Cliffs","Victoria",3070,-35.3736885081439,141.594803545198,"D",0,6.8,9.2,82,2,0,0.5212,69,0.08296799659729
0,"2020-10-15 19:13:55.017074",NA,NA,NA,-26.6085746974719,149.270796291456,"D",0,22.8,10.5,46,0,0,0.2594,326,0.127498984336853
0,"2020-04-05 09:13:28.805012","Ipswich","Queensland",232930,-27.8732732265069,152.525324983407,"N",0,16.6,3.4,84,0,0,0.7851,137,0.389565646648407
0,"2020-04-09 21:24:30.982945","Saint Arnaud","Victoria",2126,-36.8040055523308,143.298569633236,"D",0,13.8,7.9,91,70,0,0.4602,286,0.19880910217762
0,"2020-07-20 09:52:01.465745","Mount Gambier","South Australia",25591,-37.4948294453655,141.545294905179,"D",0,7.1,6.8,97,96,0,0.7285,263,0.379527151584625
