"latitude","longitude","brightness","daynight","acq_date","acq_time","daynight.1","type","datetime","city","state","population","wildfire","temp_C","wind","humidity"
45.6241,-109.2013,333.6,"D","2020-05-01",2019,"D",0,"2020-05-01 20:19:00","Columbus","Montana",1925,1,18.8,18.6,22
41.2073,-123.4203,302.2,"N","2020-08-13",549,"N",0,"2020-08-13 05:49:00","Weitchpec","California",87,1,11.8,0,55
44.6104,-120.1391,311.5,"D","2020-12-03",1925,"D",0,"2020-12-03 19:25:00","Mitchell","Oregon",211,1,6.4,2,44
26.3913,-81.5081,312.5,"D","2020-04-17",1650,"D",0,"2020-04-17 16:50:00","Immokalee","Florida",25624,1,31.3,3.2,47
36.1953,-118.4851,358,"D","2020-08-31",2054,"D",0,"2020-08-31 20:54:00","Cedar Slope","California",0,1,26.1,13,21
39.7374,-121.0252,360.1,"N","2020-09-09",531,"N",0,"2020-09-09 05:31:00","Little Grass Valley","California",10,1,11.9,22.1,19
48.0712,-96.9855,304.6,"D","2020-11-03",1918,"D",0,"2020-11-03 19:18:00","Alvarado","Minnesota",338,1,12,12.5,52
36.1,-118.5671,454.9,"D","2020-09-16",2053,"D",0,"2020-09-16 20:53:00","Ponderosa","California",64,1,21.8,10.5,17
26.7637,-81.7125,320.3,"D","2020-03-13",1620,"D",0,"2020-03-13 16:20:00","Olga","Florida",2876,1,31,18.1,28
37.1509,-121.2403,381.3,"D","2020-08-22",2100,"D",0,"2020-08-22 21:00:00","Santa Nella","California",1686,1,33.6,17,25
30.8869,-86.2624,307.1,"D","2020-11-23",1848,"D",0,"2020-11-23 18:48:00","Paxton","Florida",621,1,15.2,11.7,39
46.0765,-112.1722,312.4,"D","2020-09-17",1817,"D",0,"2020-09-17 18:17:00","Boulder","Montana",1326,1,23.5,9.7,23
39.3371,-108.5778,361.8,"N","2020-08-17",524,"N",0,"2020-08-17 05:24:00","Fruita","Colorado",13578,1,23.1,15.9,8
37.6038,-119.271,309.6,"D","2020-11-03",1915,"D",0,"2020-11-03 19:15:00","June Lake","California",209,1,12.4,10.6,21
37.3394,-119.1719,318.8,"D","2020-09-27",1857,"D",0,"2020-09-27 18:57:00","Big Creek","California",83,1,22.6,11.8,20
45.9721,-122.0145,326.3,"N","2020-09-10",615,"N",0,"2020-09-10 06:15:00","Cougar","Washington",32,1,15,10.9,25
29.1425,-82.5603,313.7,"D","2020-01-21",1643,"D",0,"2020-01-21 16:43:00","Rainbow Lakes Estates","Florida",3376,1,7.6,21.3,39
40.7228,-110.7476,328.2,"D","2020-09-24",2005,"D",0,"2020-09-24 20:05:00","Tabiona","Utah",157,1,13.9,19.5,22
45.0056,-122.3344,309,"N","2020-09-10",615,"N",0,"2020-09-10 06:15:00","Molalla","Oregon",10168,1,12.2,15,26
46.7929,-120.7076,328.9,"N","2020-09-02",1113,"N",0,"2020-09-02 11:13:00","Naches","Washington",895,1,17.5,13.5,46
39.8692,-111.795,406.7,"N","2020-09-08",447,"N",0,"2020-09-08 04:47:00","Rocky Ridge","Utah",901,1,7.6,13.3,87
32.1323,-89.0209,309.2,"D","2020-12-10",1932,"D",0,"2020-12-10 19:32:00","Pachuta","Mississippi",263,1,15.2,10.8,69
41.1215,-123.2968,395.9,"N","2020-09-28",601,"N",0,"2020-09-28 06:01:00","Trinity Village","California",230,1,13.7,5.2,29
31.2163,-84.4767,317.8,"D","2020-04-28",1630,"D",0,"2020-04-28 16:30:00","Newton","Georgia",489,1,27.2,6.3,30
42.4882,-120.3505,336.7,"D","2020-12-03",1926,"D",0,"2020-12-03 19:26:00","Paisley","Oregon",271,1,7.1,8,54
41.8816,-89.3014,309.3,"D","2020-11-07",1851,"D",0,"2020-11-07 18:51:00","Franklin Grove","Illinois",1086,1,15.7,14.8,71
42.1345,-114.219,404.7,"N","2020-09-16",537,"N",0,"2020-09-16 05:37:00","Oakley","Idaho",846,1,14.8,5.5,21
48.9923,-105.9331,388.5,"D","2020-08-29",1746,"D",0,"2020-08-29 17:46:00","Peerless","Montana",0,1,29.4,22.3,21
39.6054,-122.7952,304.8,"N","2020-09-01",619,"N",0,"2020-09-01 06:19:00","Elk Creek","California",52,1,15.6,5.4,42
31.9051,-81.5804,325.7,"D","2020-12-08",1630,"D",0,"2020-12-08 16:30:00","Fort Stewart","Georgia",9976,1,9.8,10.4,50
39.9889,-122.9835,342.8,"N","2020-09-10",613,"N",0,"2020-09-10 06:13:00","Covelo","California",1495,1,11.2,7.6,26
39.6552,-123.0498,346,"D","2020-09-14",2107,"D",0,"2020-09-14 21:07:00","Covelo","California",1495,1,27.8,8.2,12
32.1073,-103.8396,300.9,"N","2020-07-06",902,"N",0,"2020-07-06 09:02:00","Malaga","New Mexico",63,1,23.2,6.1,67
34.3556,-91.1566,341.2,"D","2020-10-01",1831,"D",0,"2020-10-01 18:31:00","St. Charles","Arkansas",260,1,21.5,6.4,41
35.6322,-95.8462,310.9,"D","2020-03-06",1927,"D",0,"2020-03-06 19:27:00","Morris","Oklahoma",1557,1,14.4,5.4,31
33.9352,-111.4397,403.5,"D","2020-06-21",2046,"D",0,"2020-06-21 20:46:00","Jakes Corner","Arizona",189,1,34.1,14.6,10
42.6884,-111.5839,300.3,"D","2020-10-28",1812,"D",2,"2020-10-28 18:12:00","Soda Springs","Idaho",3150,1,8.6,5.2,32
41.0306,-123.5579,307.5,"N","2020-09-28",1014,"N",0,"2020-09-28 10:14:00","Willow Creek","California",949,1,14.1,5.2,46
30.138,-96.0748,311.3,"D","2020-12-06",1956,"D",0,"2020-12-06 19:56:00","Hempstead","Texas",5899,1,14.2,11.2,55
41.917,-123.3764,318.5,"D","2020-09-15",2150,"D",0,"2020-09-15 21:50:00","Happy Camp","California",580,1,28.2,8.3,10
36.4383,-119.114,307.8,"D","2020-03-11",2124,"D",0,"2020-03-11 21:24:00","Woodlake","California",7651,1,19.1,3.3,51
40.1218,-106.0967,365.2,"D","2020-10-20",1724,"D",0,"2020-10-20 17:24:00","Hot Sulphur Springs","Colorado",977,1,13.9,19.4,22
33.6992,-88.5896,306.5,"D","2020-11-13",1950,"D",0,"2020-11-13 19:50:00","West Point","Mississippi",9967,1,16.9,7.4,57
