"wildfire","datetime","city","state","population","latitude","longitude","computed_daynight_sza","brightness","cloud_cover","temp_C","wind","humidity","precipitation","ndvi","soil_moisture","elevation"
0,"2020-03-03 11:11:35.928247","La Porte City","Iowa",2170,42.3138655345043,-92.1946726394797,"D",0,0,6,29.5,57,0,-0.0171,0.302947461605072,257
0,"2020-07-22 13:12:58.310378","Daphnedale Park","California",158,41.6150566535264,-120.638395747919,"N",0,25,24.7,2.8,39,0,-0.0873,0.183067470788956,1490
0,"2020-02-11 01:23:09.971426","Wildwood Lake","Tennessee",3490,35.0988176459845,-84.855078175737,"N",0,100,12.3,15.7,100,0.9,0.5021,0.478651642799377,254
0,"2020-12-11 11:02:32.300081","Escondida","New Mexico",0,34.077130469312,-106.706881375905,"N",0,19,4.6,9.7,68,0,0.1764,0.0881822779774666,1783
0,"2020-04-06 11:32:15.733461","Red Mesa","Arizona",470,36.9710201902562,-109.657913625828,"D",0,43,13.1,24.3,27,0,0.1276,0.139063999056816,1479
0,"2020-08-31 12:54:51.202051","Dennis","Oklahoma",206,36.5377457034053,-94.9044819403956,"D",0,70,27.4,14.2,84,1.5,0.8623,0.115649685263634,280
0,"2020-10-05 01:02:30.070935","Chalkyitsik","Alaska",103,66.5813710851779,-144.48699314538,"N",0,0,4.2,11.5,90,0,0.5268,0.135611966252327,0
0,"2020-02-25 11:11:42.436383","Herndon","Virginia",24529,38.9645387063171,-77.3730242618886,"N",0,100,8.9,4.8,94,0.1,0.3093,0.243049293756485,100
0,"2020-01-11 03:59:41.522354","Buffalo","South Dakota",282,45.2388865698919,-103.549899020772,"D",0,33,-12.9,16.8,73,0,0.2284,0.225534558296204,948
0,"2020-07-19 00:45:02.632922","Lime Village","Alaska",9,60.8195653946609,-154.605078283452,"N",0,46,13.6,3.4,87,0,0.8236,0.306534886360168,0
0,"2020-05-28 13:24:14.95599","Morrill","Nebraska",852,42.3106171099272,-103.774047453663,"N",0,46,14.5,17.8,63,0,0.4168,0.0908871442079544,1449
0,"2020-12-06 05:25:06.364892","Rattan","Oklahoma",302,34.1964513668279,-95.5184984343168,"N",0,65,5.6,10.2,82,0,0.555,0.18822880089283,157
0,"2020-03-11 00:26:35.272027","Jackson","Michigan",81058,42.2750204557589,-84.4296835621205,"D",0,1,1,6.8,83,0,0.3477,0.304434984922409,292
0,"2020-01-27 12:30:11.969919","Port O'Connor","Texas",698,28.3685129203332,-96.4851289226726,"D",0,100,17.6,15.9,84,0,-0.9999,0.109352916479111,0
0,"2020-01-31 03:08:38.283302","Arrowhead Springs","Wyoming",37,41.502970526616,-108.959137748021,"D",0,1,-10.2,20.6,74,0,-0.0066,0.0990276485681534,2101
0,"2020-12-16 04:14:43.691532","Nescatunga","Oklahoma",101,36.7903337266208,-98.2053944755959,"N",0,90,-1.5,4.4,91,0,0.2973,0.134198069572449,351
0,"2020-02-23 12:08:44.618688","Rocky Ford","Colorado",3843,38.0419789415672,-103.815129655181,"D",0,47,9.4,15.6,41,0,0.161,0.132454469799995,1319
0,"2020-12-16 06:40:21.064969","Denio","Nevada",12,42.5700980051702,-118.962628666519,"N",0,96,-1.4,10.3,91,0,0.2342,0.212605476379395,1387
0,"2020-10-14 00:40:10.726331","Logan","Iowa",1362,41.6227011099106,-95.6891426245029,"N",0,93,12.8,13.5,45,0,0.3158,0.163436323404312,389
0,"2020-03-30 10:48:22.228352","Allakaket","Alaska",173,66.0352549387929,-151.796453375096,"N",0,0,-20.6,8.3,63,0,0.0112,0.593056797981262,0
0,"2020-06-03 12:26:08.073864","Lacey","Arkansas",684,33.437761747561,-91.9709905963203,"D",0,71,30.4,5.8,50,0,0.853,0.356542468070984,40
0,"2020-01-06 00:02:55.873428","Harris","Minnesota",924,45.5837908816346,-93.1074520155474,"D",0,0,-5,18,78,0,0.032,0.26409387588501,292
0,"2020-11-22 12:12:41.348782","Carthage","South Dakota",104,44.138753309355,-97.8900374521672,"D",0,0,2.9,24.7,61,0,0.2975,0.238285228610039,402
0,"2020-02-26 06:22:14.660923","Robbinsville","North Carolina",677,35.3284110492378,-83.6381164341835,"N",0,1,2.7,2.6,88,0,0.4499,0.307612657546997,930
0,"2020-02-22 11:37:50.377134","Clawson","Utah",94,39.0683145661095,-110.913652980275,"N",0,94,0.2,4.4,44,0,0.1325,0.116341158747673,1705
0,"2020-01-06 02:23:04.753543","Carolina Shores","North Carolina",4843,33.987434279656,-78.5533651959378,"D",0,0,5.1,9.4,76,0,0.6428,0.215660780668259,3
0,"2020-08-22 00:22:02.540932","Garland","Texas",245298,32.8906449287277,-96.6539578563675,"N",0,89,27,11.2,52,0,0.5491,0.264619380235672,175
0,"2020-03-20 09:39:53.424942","Middleville","New York",626,43.1619687848577,-75.0743444043345,"D",0,100,12.1,16.1,95,0,0.3571,0.417230606079102,444
0,"2020-01-27 08:59:14.801339","Westmorland","California",1734,33.0215198426366,-115.918878069607,"D",0,1,11.4,8,61,0,0.0612,0.112070605158806,-2
0,"2020-03-31 12:00:34.620396","Lakewood","Wisconsin",297,45.3305445745863,-88.5163386376867,"N",0,100,2.7,12.5,65,0,0.1893,0.789179265499115,389
0,"2020-05-11 09:32:53.814974","Sentinel Butte","North Dakota",61,47.0351528736807,-103.90055778566,"N",0,68,3.9,9.7,42,0,0.3621,0.195586815476418,841
0,"2020-04-14 10:58:49.714742","Meadow Bridge","West Virginia",504,37.7701800509456,-80.8878829637529,"N",0,21,8.5,4.9,52,0,0.5599,0.341984570026398,489
0,"2020-02-29 09:03:15.362934","Monteagle","Tennessee",1818,35.1619104675445,-85.7726729665973,"D",0,58,0.5,18.3,77,0,0.4641,0.479894280433655,397
0,"2020-01-21 23:12:43.553163","Bledsoe","Texas",120,33.435338305861,-102.889891578898,"N",0,100,6.1,22.8,81,0.8,0.1918,0.0635014027357101,1161
0,"2020-03-31 02:58:44.877136","Florence","Montana",993,46.5846943491266,-113.957599197768,"D",0,85,1,8.6,80,0.5,0.3094,0.227786228060722,1122
0,"2020-02-16 14:01:41.74896","Rockland","Idaho",214,42.3734234813058,-112.652170165352,"D",0,100,-1.7,13.4,91,0.5,-0.0405,0.152149647474289,1850
0,"2020-11-27 08:43:02.938788","South Greeley","Wyoming",4596,40.9731407429763,-104.743603220227,"D",0,1,-5.2,9.7,46,0,0.2009,0.0924565196037292,1895
0,"2020-02-15 11:50:04.594434","Millingport","North Carolina",455,35.3418571256848,-80.2679440841729,"N",0,76,5.2,5.9,46,0,0.5888,0.452875554561615,184
0,"2020-11-28 23:56:19.309669","Lake Minchumina","Alaska",14,64.1513256827902,-152.950976834377,"N",0,72,-13.2,13,80,0,-0.0467,0.295201241970062,0
0,"2020-03-17 07:25:31.411024","Oatman","Arizona",98,35.064186900371,-114.423745544696,"N",0,7,9,15.4,77,0,0.222,0.0895061418414116,750
0,"2020-01-17 23:42:11.913846","Pleasant Valley","Alaska",507,65.2664307710778,-146.855605859936,"D",0,0,-16.7,14.4,50,0,-0.9999,0.155541315674782,0
0,"2020-11-16 13:02:07.18573","Townsend","Montana",2232,46.284520528765,-111.415203113535,"N",0,99,3.9,17.1,53,0,0.2108,0.106974050402641,1301
0,"2020-01-25 03:27:39.792577","Newcastle","Wyoming",3348,43.6447509579424,-104.43984641188,"N",0,90,-2.5,10.8,86,0,0.2229,0.144585356116295,1266
0,"2020-12-03 13:03:29.605986","Kanorado","Kansas",232,39.5108829842899,-101.979551785521,"D",0,3,3.2,12.7,28,0,0.2235,0.11780110001564,1169
0,"2020-02-27 01:47:42.100763","Hawley","Pennsylvania",1104,41.4650592746789,-75.250016080085,"D",0,100,3,16.6,100,2.6,0.2014,0.39084404706955,423
0,"2020-02-16 23:42:21.185743",NA,NA,NA,69.426008568819,-157.029651005118,"N",0,100,-21.5,22.8,56,0,-0.0408,0.623286247253418,0
